EP,PP,DP,MP,MB,MBS,time,comp,ep_wait,pp_wait,dp_wait,mp_wait
8,1,64,1,1,1,1.252559098620e+14,9.834217668225e+13,2.691373317972e+13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8,1,32,2,1,2,1.401140718797e+14,9.834295050000e+13,2.691373317972e+13,0.000000000000e+00,0.000000000000e+00,1.485738820000e+13
8,1,16,4,1,4,1.401156195152e+14,9.834449813550e+13,2.691373317972e+13,0.000000000000e+00,0.000000000000e+00,1.485738820000e+13
8,1,8,8,1,8,1.401187147862e+14,9.834759340650e+13,2.691373317972e+13,0.000000000000e+00,0.000000000000e+00,1.485738820000e+13
16,1,64,1,1,1,1.521696430417e+14,9.834217668225e+13,5.382746635945e+13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
16,1,32,2,1,2,1.646819016594e+14,9.834295050000e+13,5.382746635945e+13,0.000000000000e+00,0.000000000000e+00,1.251148480000e+13
16,1,16,4,1,4,1.646834492949e+14,9.834449813550e+13,5.382746635945e+13,0.000000000000e+00,0.000000000000e+00,1.251148480000e+13
16,1,8,8,1,8,1.646865445659e+14,9.834759340650e+13,5.382746635945e+13,0.000000000000e+00,0.000000000000e+00,1.251148480000e+13
8,2,8,4,8,1,2.579936729364e+14,9.834449813550e+13,2.691373317972e+13,7.330588882121e+13,0.000000000000e+00,5.942955280000e+13
8,2,4,8,8,2,2.579986845760e+14,9.834759340650e+13,2.691373317972e+13,7.330780518978e+13,0.000000000000e+00,5.942955280000e+13
16,2,8,4,8,1,2.778234347955e+14,9.834449813550e+13,5.382746635945e+13,7.560553110056e+13,0.000000000000e+00,5.004593920000e+13
16,2,4,8,8,2,2.778284464351e+14,9.834759340650e+13,5.382746635945e+13,7.560744746913e+13,0.000000000000e+00,5.004593920000e+13
8,2,4,8,16,1,2.851436551119e+14,9.834759340650e+13,2.691373317972e+13,4.102322292565e+13,0.000000000000e+00,1.188591056000e+14
8,2,16,2,4,1,2.928426806921e+14,9.834295050000e+13,2.691373317972e+13,1.378712206123e+14,0.000000000000e+00,2.971477640000e+13
