yaml,csv,batch,dev_num,dev_type,correl
ds/telecom/4k_13L.yaml,telecom_1T_32D_128B.csv,128,32,2,-34.96639557287619
ds/telecom/32p_8dp.yaml,telecom_32D_256B_8DP.csv,256,32,2,99.32649172950777
ds/telecom/32p_8mp.yaml,telecom_32D_256B_8MP.csv,256,32,2,97.41366633370833
ds/telecom/ori_latest.yaml,telecom_128D_256B.csv,256,128,2,91.92950400173902
ds/telecom/ori_latest.yaml,telecom_128D_128B.csv,128,128,2,94.01659629472137
pretrain_llama2_7b.yaml,llama2_7B_8D_A2.csv,8,8,2,64.35673705645435
pretrain_llama2_7b.yaml,llama2_7B_8D_A3.csv,8,8,3,89.63144150142813
pretrain_llama2_13b.yaml,llama2_13B_32D_32B_A2.csv,32,32,2,49.20536103426478
pretrain_qwen1_5_72b.yaml,qwen1.5_72B_64D_64B_A2.csv,64,64,2,98.54379533800393
ds/shallowseek.yaml,deepseek_8L_64D_8B_A2.csv,8,64,2,21.007709374665154
ds/shallowseek.yaml,deepseek_8L_64D_8B_A3.csv,8,64,3,36.68600474887295
ds/DSGZ_128p_29MFU_NoRec.yaml,deepseek_15L_128D_1920B_A3_NoRec.csv,1920,128,3,26.420892317985867
ds/DSGZ_128p_29MFU.yaml,deepseek_15L_128D_1920B_A3_FullRec.csv,1920,128,3,93.9256202774725
cm/cm_657b_128p.yaml,cm_657B_128D_A2.csv,512,128,2,93.28644074254684
cm/cm_628b_128p.yaml,cm_628B_128D_A2.csv,128,128,2,70.51132818150958
cm/jiutian_240b_8192p_6T0429v1_6T_4K.yaml,jiutian_1024D_1152B_A2_NoRec.csv,1024,1536,2,82.45093690278486
cm/jiutian_48b_32p.yaml,jiutian_32D_48B_A2_Rec_for_testing.csv,24,32,2,84.34096540483507
